"STUDENTID";"ACADYEAR";"SEMESTER";"CAMPUSID";"COURSEID";"CAMPUSNAME";"CURRIC";"COURSENAME";"SECTIONGROUP";"CREDIT";"GRADE"
316644;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"C"
316644;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"C"
316644;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100003";3;"D"
316644;2552;1;2;"SC135";"RANGSIT";"521";"GENERAL PHYSICS";"080001";3;"F"
316644;2552;1;2;"SC185";"RANGSIT";"521";"GENERAL PHYSICS  LABORATORY";"005401";1;"C"
316644;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090004";3;"C"
316644;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"D"
316644;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";4;"D+"
316644;2552;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"100003";3;"F"
316644;2552;2;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"090001";3;"F"
316644;2552;2;2;"PY228";"RANGSIT";"521";"PSYCHOLOGY OF INTERPERSONAL RELATIONS";"010001";3;"B"
316644;2552;2;2;"TU110";"RANGSIT";"521";"INTEGRATED HUMANITIES";"320001";3;"C+"
316644;2552;2;2;"TU120";"RANGSIT";"521";"INTEGRATED SOCIAL SCIENCES";"870001";3;"D+"
316644;2552;2;2;"TU130";"RANGSIT";"521";"INTEGRATED SCIENCES AND TECHNOLOGY";"230001";3;"B"
316644;2552;3;1;"TU122";"THA PRACHAN";"521";"LAW IN EVERYDAY LIFE";"824501";3;"B+"
316644;2553;1;2;"AT326";"RANGSIT";"521";"RICE AND PRODUCTION TECHNOLOGY";"010001";3;"A"
316644;2553;1;2;"CS213";"RANGSIT";"521";"DATA STRUCTURES";"050002";3;"C"
316644;2553;1;2;"CS214";"RANGSIT";"521";"SOCIAL AND PROFESSIONAL ETHICS";"000001";1;"B"
316644;2553;1;2;"CS222";"RANGSIT";"521";"PROGRAMMING LANGUAGES AND PARADIGMS";"910001";3;"B"
316644;2553;1;2;"CS223";"RANGSIT";"521";"COMPUTER ORGANIZATION AND ARCHITECTURE";"040002";3;"B"
316644;2553;1;2;"CS284";"RANGSIT";"521";"INTRODUCTION TO SOFTWARE ENGINEERING";"900001";3;"B"
316644;2553;1;2;"MA211";"RANGSIT";"521";"CALCULUS 1";"820001";3;"D"
316644;2553;1;2;"SW111";"RANGSIT";"521";"PHILOSOPHICAL FOUNDATIONS AND PROFESSIONAL ETHICS";"810001";3;"D+"
316644;2553;2;2;"AT316";"RANGSIT";"521";"INDUSTRIAL AND POWER PLANTS";"060001";3;"B+"
316644;2553;2;2;"CS251";"RANGSIT";"521";"DATABASE SYSTEMS 1";"020002";3;"C+"
316644;2553;2;2;"CS261";"RANGSIT";"521";"HUMAN INFORMATION PROCESSING";"090001";3;"B"
316644;2553;2;2;"CS281";"RANGSIT";"521";"OBJECT-ORIENTED ANALYSIS AND DESIGN";"780001";3;"B+"
316644;2553;2;2;"MA332";"RANGSIT";"521";"LINEAR ALGEBRA";"030001";3;"C"
316644;2553;2;2;"SC135";"RANGSIT";"521";"GENERAL PHYSICS";"830001";3;"C"
316644;2553;2;2;"ST216";"RANGSIT";"521";"STATISTICS  FOR  SOCIAL  SCIENCE 1";"040001";3;"C"
316644;2553;3;1;"LA209";"THA PRACHAN";"521";"CIVIL AND COMMERCIAL LAW";"598401";3;"A"
316644;2554;1;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"060801";4;"A"
316644;2554;1;2;"CS314";"RANGSIT";"521";"THEORY OF COMPUTATION";"040001";3;"B"
316644;2554;1;2;"CS341";"RANGSIT";"521";"OPERATING SYSTEMS 1";"050001";3;"C"
316644;2554;1;2;"CS365";"RANGSIT";"521";"ARTIFICIAL INTELLIGENT SYSTEMS";"020001";3;"B+"
316644;2554;1;2;"CS395";"RANGSIT";"521";"COMPUTER GRAPHICS";"090001";3;"C+"
316644;2554;1;2;"ES356";"RANGSIT";"521";"ECO-TOURISM";"820002";3;"A"
316644;2554;1;2;"MA212";"RANGSIT";"521";"CALCULUS 2";"030001";3;"D+"
316644;2554;2;2;"CS301";"RANGSIT";"521";"FUNDAMENTAL OF RESEARCH METHODOLOGY";"150001";1;"A"
316644;2554;2;2;"CS311";"RANGSIT";"521";"DESIGN AND ANALYSIS OF ALGORITHMS";"120001";3;"B+"
316644;2554;2;2;"CS326";"RANGSIT";"521";"EMBEDDED SYSTEMS DESIGN";"100001";3;"A"
316644;2554;2;2;"CS342";"RANGSIT";"521";"NET-CENTRIC COMPUTING 1";"080001";3;"B"
316644;2554;2;2;"CS356";"RANGSIT";"521";"	COMPUTER APPLICATIONS IN BUSINESS";"030001";3;"A"
316644;2554;2;2;"CS366";"RANGSIT";"521";"FUNDAMENTAL OF NATURAL LANGUAGE PROCESSING";"050001";3;"A"
316644;2554;2;2;"CS374";"RANGSIT";"521";"HUMAN - COMPUTER INTERACTION";"040001";3;"C+"
316644;2554;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"070005";3;"D+"
316644;2555;1;2;"CS302";"RANGSIT";"521";"COMPUTER SECURITY";"820001";3;"B+"
316644;2555;1;2;"CS401";"RANGSIT";"521";"SPECIAL PROJECTS  1";"000001";2;"A"
316644;2555;1;2;"CS427";"RANGSIT";"521";"INTRODUCTION TO PARALLEL COMPUTING";"080001";3;"B+"
316644;2555;1;2;"CS446";"RANGSIT";"521";"NET-CENTRIC COMPUTING 2";"020001";3;"B"
316644;2555;1;2;"CS449";"RANGSIT";"521";"SELECTED TOPICS IN NET-CENTRIC COMPUTING";"040001";3;"A"
316644;2555;1;2;"CS457";"RANGSIT";"521";"DATABASE SYSTEMS 2";"090001";3;"B+"
316644;2555;1;2;"EL295";"RANGSIT";"521";"ACADEMIC ENGLISH 1";"070001";3;"B"
316644;2555;2;2;"CS367";"RANGSIT";"521";"KNOWLEDGE REPRESENTATION AND REASONING";"030001";3;"A"
316644;2555;2;2;"CS402";"RANGSIT";"521";"SPECIAL PROJECTS 2";"000001";3;"A"
316644;2555;2;2;"CS429";"RANGSIT";"521";"SELECTED TOPICS  IN  COMPUTER ARCHITECTURE";"020001";3;"A"
316644;2555;2;2;"CS459";"RANGSIT";"521";"SELECTED TOPICS IN INFORMATION SYSTEMS";"090001";3;"A"
316644;2555;2;2;"EL395";"RANGSIT";"521";"ACADEMIC ENGLISH 2";"040001";3;"C+"
316645;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"F"
316645;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"D"
316645;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100003";3;"D"
316645;2552;1;2;"SC135";"RANGSIT";"521";"GENERAL PHYSICS";"080001";3;"F"
316645;2552;1;2;"SC185";"RANGSIT";"521";"GENERAL PHYSICS  LABORATORY";"005401";1;"D+"
316645;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090005";3;"B"
316645;2552;1;2;"TU154";"RANGSIT";"521";"FOUNDATION OF MATHEMATICS";"070001";3;"F"
316645;2552;2;2;"CS111";"RANGSIT";"521";"OBJECT-ORIENTED PROGRAMMING";"040501";0;"W"
316645;2552;2;2;"EL172";"RANGSIT";"521";"ENGLISH COURSE 3";"100003";3;"D"
