"ADMITYEAR";"STUDENTID";"STUDENTSTATUS";"STUDENTSTATUSNAME";"PROVINCEID";"PROVINCENAME";"BIRTHDATE";"SCHOOLGPA"
2552;336749;61;"Dismissed GPAX < 1.50";72;"SUPHAN BURI";8/3/1990 0:00:00;2.18
2552;336750;40;"Graduated";12;"PATHUM THANI";12/2/1988 0:00:00;2.88
2552;336751;90;"Not Registration for New Students";54;"PHRAE";29/11/1988 0:00:00;3.57
2552;336752;40;"Graduated";11;"NONTHABURI";4/7/1990 0:00:00;3.15
2552;336753;40;"Graduated";1;"BANGKOK";26/10/1990 0:00:00;3.24
2552;336754;40;"Graduated";25;"PRACHIN BURI";27/2/1991 0:00:00;3.39
2552;336755;40;"Graduated";15;"LOP BURI";7/7/1989 0:00:00;3.47
2552;336756;55;"Resign";1;"BANGKOK";21/5/1990 0:00:00;2.66
2552;336757;61;"Dismissed GPAX < 1.50";1;"BANGKOK";8/9/1990 0:00:00;2.91
2552;336758;61;"Dismissed GPAX < 1.50";30;"NAKHON RATCHASIMA";10/5/1991 0:00:00;3.05
2552;336759;61;"Dismissed GPAX < 1.50";21;"RAYONG";22/2/1986 0:00:00;3.39
2552;336760;61;"Dismissed GPAX < 1.50";45;"ROI ET";11/2/1989 0:00:00;2.98
2552;336761;61;"Dismissed GPAX < 1.50";70;"RATCHABURI";1/5/1989 0:00:00;2.65
2552;336762;80;"Dismissed Not Enroll";52;"LAMPANG";29/5/1989 0:00:00;2.29
2552;336763;40;"Graduated";19;"SAMUT PRAKAN";21/6/1990 0:00:00;3.43
2552;336764;40;"Graduated";80;"NAKHON SI THAMMARAT";20/1/1989 0:00:00;2.83
2552;336765;40;"Graduated";1;"BANGKOK";17/12/1990 0:00:00;3.05
2552;336766;40;"Graduated";1;"BANGKOK";8/3/1991 0:00:00;2.71
2552;336767;40;"Graduated";1;"BANGKOK";29/10/1990 0:00:00;2.96
2552;336768;40;"Graduated";1;"BANGKOK";30/6/1991 0:00:00;3.01
2552;336769;40;"Graduated";1;"BANGKOK";6/4/1991 0:00:00;3.79
2552;336770;55;"Resign";19;"SAMUT PRAKAN";18/8/1990 0:00:00;3.84
2552;336771;80;"Dismissed Not Enroll";77;"PRACHUAP KHIRI KHAN";13/5/1990 0:00:00;3.03
2552;336772;40;"Graduated";1;"BANGKOK";4/10/1990 0:00:00;3.01
2552;336773;40;"Graduated";43;"NONG KHAI";8/2/1991 0:00:00;3.2
2552;336774;40;"Graduated";1;"BANGKOK";6/11/1990 0:00:00;3.29
2552;336775;40;"Graduated";1;"BANGKOK";4/9/1989 0:00:00;3.42
2552;336776;61;"Dismissed GPAX < 1.50";33;"SI SA KET";25/10/1989 0:00:00;2.37
2552;336777;61;"Dismissed GPAX < 1.50";1;"BANGKOK";9/2/1991 0:00:00;1.95
2552;336778;55;"Resign";84;"SURAT THANI";25/3/1991 0:00:00;2.47
2552;336779;90;"Not Registration for New Students";10;;;
2552;336780;55;"Resign";36;"CHAIYAPHUM";13/1/1991 0:00:00;3.57
2552;336781;40;"Graduated";1;"BANGKOK";3/12/1990 0:00:00;2.91
2552;336782;40;"Graduated";1;"BANGKOK";4/5/1991 0:00:00;2.8
2552;336783;40;"Graduated";1;"BANGKOK";6/3/1990 0:00:00;2.46
2552;336784;55;"Resign";80;"NAKHON SI THAMMARAT";4/11/1990 0:00:00;3.33
2552;336785;40;"Graduated";1;"BANGKOK";22/8/1990 0:00:00;3.11
2552;336786;40;"Graduated";34;"UBON RATCHATHANI";16/2/1990 0:00:00;3.08
2552;336787;40;"Graduated";1;"BANGKOK";10/10/1989 0:00:00;3.1
2553;344128;10;"Normal";15;"LOP BURI";28/12/1991 0:00:00;3.63
2553;344129;40;"Graduated";30;"NAKHON RATCHASIMA";10/8/1991 0:00:00;3.85
2553;344130;40;"Graduated";1;"BANGKOK";28/8/1991 0:00:00;3.78
2553;344131;40;"Graduated";12;"PATHUM THANI";4/3/1992 0:00:00;3.71
2553;344132;40;"Graduated";12;"PATHUM THANI";12/2/1992 0:00:00;3.56
2553;344245;40;"Graduated";1;"BANGKOK";26/9/1991 0:00:00;3.04
2553;344708;40;"Graduated";1;"BANGKOK";19/3/1992 0:00:00;3.13
2553;344709;40;"Graduated";20;"CHON BURI";15/3/1992 0:00:00;3.67
2553;344710;80;"Dismissed Not Enroll";32;"SURIN";23/11/1991 0:00:00;3.67
2553;344711;40;"Graduated";36;"CHAIYAPHUM";25/9/1991 0:00:00;3.76
2553;344712;40;"Graduated";52;"LAMPANG";13/12/1991 0:00:00;3.12
2553;345353;40;"Graduated";1;"BANGKOK";24/9/1989 0:00:00;3.67
2552;316643;90;"Not Registration for New Students";31;"BURI RAM";;
2552;316644;40;"Graduated";12;"PATHUM THANI";30/8/1991 0:00:00;3.32
2552;316645;61;"Dismissed GPAX < 1.50";48;"NAKHON PHANOM";20/9/1990 0:00:00;3.19
2552;316646;61;"Dismissed GPAX < 1.50";14;"ANG THONG";29/5/1990 0:00:00;3.01
2552;316647;55;"Resign";31;"BURI RAM";15/10/1990 0:00:00;3.24
2552;316757;61;"Dismissed GPAX < 1.50";1;"BANGKOK";4/4/1991 0:00:00;2.77
2552;321848;40;"Graduated";96;"NARATHIWAT";26/10/1991 0:00:00;3.62
2552;321849;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";9/7/1990 0:00:00;3.56
2552;321850;40;"Graduated";1;"BANGKOK";19/2/1991 0:00:00;3.64
2552;324840;40;"Graduated";32;"SURIN";30/10/1989 0:00:00;2.37
2552;324842;80;"Dismissed Not Enroll";1;"BANGKOK";7/10/1985 0:00:00;1.93
2552;325073;61;"Dismissed GPAX < 1.50";84;"SURAT THANI";28/7/1990 0:00:00;3.03
2552;329171;40;"Graduated";22;"CHANTHABURI";29/6/1990 0:00:00;3.38
2552;329172;40;"Graduated";42;"LOEI";5/6/1991 0:00:00;3.69
2552;329173;40;"Graduated";34;"UBON RATCHATHANI";17/7/1989 0:00:00;3.52
2552;329174;40;"Graduated";1;"BANGKOK";1/1/1991 0:00:00;3.69
2552;329175;40;"Graduated";1;"BANGKOK";4/12/1990 0:00:00;3.69
2552;329176;40;"Graduated";20;"CHON BURI";13/12/1990 0:00:00;3.68
2552;329177;40;"Graduated";23;"TRAT";22/8/1989 0:00:00;3.73
2552;329178;55;"Resign";23;"TRAT";14/9/1990 0:00:00;3.31
2552;329179;80;"Dismissed Not Enroll";51;"LAMPHUN";6/10/1990 0:00:00;3.63
2552;329180;40;"Graduated";1;"BANGKOK";27/8/1990 0:00:00;3.75
2552;329181;40;"Graduated";23;"TRAT";15/5/1991 0:00:00;3.62
2552;329182;40;"Graduated";20;"CHON BURI";28/1/1991 0:00:00;3.48
2552;329183;40;"Graduated";1;"BANGKOK";19/1/1989 0:00:00;3.61
2552;329184;40;"Graduated";76;"PHETCHABURI";15/8/1990 0:00:00;3.58
2552;329185;40;"Graduated";41;"UDON THANI";3/7/1990 0:00:00;3.57
2552;329186;40;"Graduated";92;"TRANG";2/7/1991 0:00:00;3.51
2552;329187;40;"Graduated";66;"PHICHIT";7/8/1990 0:00:00;3.87
2552;329188;40;"Graduated";1;"BANGKOK";27/3/1991 0:00:00;3.32
2552;329189;40;"Graduated";20;"CHON BURI";2/11/1990 0:00:00;3.76
2552;329190;40;"Graduated";72;"SUPHAN BURI";20/10/1990 0:00:00;3.59
2552;329191;40;"Graduated";13;"PHRA NAKHON SI AYUTTHAYA";31/5/1991 0:00:00;3.53
2552;329192;40;"Graduated";21;"RAYONG";4/3/1991 0:00:00;3.88
2552;329193;40;"Graduated";1;"BANGKOK";5/10/1990 0:00:00;3.5
2552;329194;40;"Graduated";84;"SURAT THANI";22/3/1991 0:00:00;3.89
2552;329195;40;"Graduated";1;"BANGKOK";25/3/1991 0:00:00;3.33
2552;329196;40;"Graduated";22;"CHANTHABURI";15/12/1990 0:00:00;3.68
2552;329197;40;"Graduated";95;"YALA";2/10/1989 0:00:00;3.24
2552;329198;40;"Graduated";11;"NONTHABURI";2/5/1991 0:00:00;3.61
2552;329199;55;"Resign";1;"BANGKOK";4/12/1990 0:00:00;3.37
2552;329200;40;"Graduated";1;"BANGKOK";26/5/1991 0:00:00;3.67
2552;329201;40;"Graduated";1;"BANGKOK";14/3/1991 0:00:00;3.58
2552;329202;40;"Graduated";30;"NAKHON RATCHASIMA";30/3/1991 0:00:00;3.57
2552;329203;40;"Graduated";24;"CHACHOENGSAO";21/6/1990 0:00:00;3.67
2552;329204;40;"Graduated";12;"PATHUM THANI";4/3/1991 0:00:00;3.76
2552;329205;40;"Graduated";1;"BANGKOK";25/6/1991 0:00:00;3.56
2552;329206;55;"Resign";34;"UBON RATCHATHANI";12/11/1990 0:00:00;3.74
2552;329207;40;"Graduated";84;"SURAT THANI";2/8/1990 0:00:00;3.55
2552;329208;40;"Graduated";1;"BANGKOK";11/3/1991 0:00:00;3.77
2552;329209;40;"Graduated";1;"BANGKOK";16/8/1990 0:00:00;3.25
2552;329210;55;"Resign";19;"SAMUT PRAKAN";26/7/1990 0:00:00;3.58
2552;329211;40;"Graduated";1;"BANGKOK";23/8/1990 0:00:00;3.39
2552;329212;40;"Graduated";1;"BANGKOK";20/1/1991 0:00:00;3.56
2552;329213;55;"Resign";19;"SAMUT PRAKAN";11/4/1991 0:00:00;3.44
2552;329214;40;"Graduated";11;"NONTHABURI";24/6/1991 0:00:00;3.76
2552;329215;40;"Graduated";57;"CHIANG RAI";19/4/1991 0:00:00;3.42
2552;329216;40;"Graduated";1;"BANGKOK";30/11/1990 0:00:00;3.63
2552;329217;40;"Graduated";1;"BANGKOK";24/8/1990 0:00:00;3.46
2552;329218;40;"Graduated";30;"NAKHON RATCHASIMA";10/3/1990 0:00:00;3.78
2552;329219;40;"Graduated";15;"LOP BURI";28/4/1991 0:00:00;3.47
2552;329220;92;"Disclaim / Not Interview";10;;;
2552;329221;55;"Resign";17;"CHAI NAT";22/11/1990 0:00:00;3.75
2552;329222;40;"Graduated";27;"SA KAEO";17/2/1991 0:00:00;3.69
2552;329223;40;"Graduated";1;"BANGKOK";3/4/1991 0:00:00;3.26
2552;329224;92;"Disclaim / Not Interview";30;"NAKHON RATCHASIMA";;
2552;329225;40;"Graduated";1;"BANGKOK";31/5/1990 0:00:00;3.11
2552;329226;40;"Graduated";32;"SURIN";28/2/1991 0:00:00;3.43
2552;329227;92;"Disclaim / Not Interview";10;;;
2552;329228;92;"Disclaim / Not Interview";32;"SURIN";;
2552;329229;40;"Graduated";90;"SONGKHLA";25/1/1991 0:00:00;3.32
2552;329230;40;"Graduated";61;"UTHAI THANI";20/7/1990 0:00:00;3.62
2552;329231;40;"Graduated";1;"BANGKOK";13/6/1991 0:00:00;3.76
2552;329232;40;"Graduated";1;"BANGKOK";27/8/1991 0:00:00;3.72
2552;329233;40;"Graduated";22;"CHANTHABURI";22/7/1991 0:00:00;3.68
2552;329234;40;"Graduated";74;"SAMUT SAKHON";19/6/1990 0:00:00;3.33
2552;329235;40;"Graduated";18;"SARABURI";16/5/1991 0:00:00;3.45
2552;329236;55;"Resign";18;"SARABURI";28/5/1991 0:00:00;3.32
2552;329237;40;"Graduated";86;"CHUMPHON";20/12/1990 0:00:00;3.54
2552;329238;55;"Resign";1;"BANGKOK";9/10/1990 0:00:00;3.6
2552;329239;40;"Graduated";1;"BANGKOK";20/9/1990 0:00:00;3.16
2552;329240;40;"Graduated";45;"ROI ET";1/11/1989 0:00:00;3.45
2552;336701;40;"Graduated";1;"BANGKOK";11/9/1989 0:00:00;3.3
2552;336702;55;"Resign";40;"KHON KAEN";19/9/1989 0:00:00;3.48
2552;336703;55;"Resign";18;"SARABURI";7/6/1990 0:00:00;3.57
2552;336704;55;"Resign";41;"UDON THANI";10/5/1989 0:00:00;3.19
