GPSTrack
013950009309742 - 0.000000,0.000000 - time01/01/2000 7:03:39
013950009309742 - 13.835038,100.514233 - time11/09/2015 6:22:11
013950009309742 - 13.835030,100.514241 - time11/09/2015 6:22:40
013950009309742 - 13.835016,100.514240 - time11/09/2015 6:23:10
013950009319790 - 0.000000,0.000000 - time01/01/2000 7:13:16
013950009319790 - 0.000000,0.000000 - time01/01/2000 7:13:32
013950009319790 - 13.834988,100.514226 - time11/09/2015 6:23:10
013950009319790 - 0.000000,0.000000 - time01/01/2000 7:09:53
013950009319790 - 0.000000,0.000000 - time01/01/2000 7:10:39
013950009319790 - 0.000000,0.000000 - time01/01/2000 7:11:08
013950009320152 - 0.000000,0.000000 - time01/01/2000 7:05:11
013950009320152 - 0.000000,0.000000 - time01/01/2000 7:05:27
013950009320152 - 13.835048,100.514188 - time11/09/2015 6:23:28
013950009320152 - 0.000000,0.000000 - time01/01/2000 7:04:04
013950009320152 - 0.000000,0.000000 - time01/01/2000 7:04:35
013950009319790 - 13.834983,100.514215 - time11/09/2015 6:23:40
013950009309742 - 13.835003,100.514248 - time11/09/2015 6:23:40
013950009320152 - 13.835046,100.514181 - time11/09/2015 6:23:58
013950009319790 - 13.834993,100.514226 - time11/09/2015 6:24:10
013950009309742 - 13.835001,100.514248 - time11/09/2015 6:24:10
013950009320152 - 13.835043,100.514180 - time11/09/2015 6:24:28
013950009319790 - 13.835005,100.514233 - time11/09/2015 6:24:40
013950009309742 - 13.834990,100.514216 - time11/09/2015 6:24:40
013950009320152 - 13.835016,100.514158 - time11/09/2015 6:24:58
013950009309742 - 13.835005,100.514210 - time11/09/2015 6:25:10
013950009319790 - 13.835010,100.514198 - time11/09/2015 6:25:10
013950009324832 - 0.000000,0.000000 - time01/01/2000 7:03:40
013950009324832 - 13.834793,100.513961 - time11/09/2015 6:24:38
013950009324832 - 13.834918,100.514140 - time11/09/2015 6:25:08
013950009320152 - 13.835001,100.514171 - time11/09/2015 6:25:28
013950009324832 - 13.834920,100.514198 - time11/09/2015 6:25:38
013950009319790 - 13.834976,100.514216 - time11/09/2015 6:25:40
013950009309742 - 13.834993,100.514223 - time11/09/2015 6:25:40
013950009320152 - 13.835008,100.514161 - time11/09/2015 6:25:58
013950009324832 - 13.834943,100.514226 - time11/09/2015 6:26:09
013950009319790 - 13.834980,100.514211 - time11/09/2015 6:26:10
013950009309742 - 13.834965,100.514241 - time11/09/2015 6:26:10
013950009320152 - 13.835016,100.514171 - time11/09/2015 6:26:28
013950009324832 - 13.834963,100.514238 - time11/09/2015 6:26:39
013950009319790 - 13.834975,100.514193 - time11/09/2015 6:26:39
013950009309742 - 13.835073,100.514260 - time11/09/2015 6:26:40
013950009320152 - 13.835013,100.514178 - time11/09/2015 6:26:58
013950009324832 - 13.834963,100.514241 - time11/09/2015 6:27:09
013950009319790 - 13.834970,100.514196 - time11/09/2015 6:27:09
013950009309742 - 13.835033,100.514223 - time11/09/2015 6:27:10
013950009320152 - 13.834991,100.514160 - time11/09/2015 6:27:28
013950009324832 - 13.834970,100.514176 - time11/09/2015 6:27:39
013950009319790 - 13.834963,100.514193 - time11/09/2015 6:27:39
013950009309742 - 13.835011,100.514221 - time11/09/2015 6:27:40
013950009320152 - 13.834981,100.514170 - time11/09/2015 6:27:58
013950009324832 - 13.834976,100.514131 - time11/09/2015 6:28:09
013950009319790 - 13.834951,100.514171 - time11/09/2015 6:28:09
013950009309742 - 13.834993,100.514215 - time11/09/2015 6:28:10
013950009320152 - 13.834985,100.514210 - time11/09/2015 6:28:27
013950009319790 - 13.834948,100.514163 - time11/09/2015 6:28:39
013950009309742 - 13.834985,100.514240 - time11/09/2015 6:28:40
013950009320152 - 13.834978,100.514233 - time11/09/2015 6:28:57
013950009319790 - 13.834965,100.514148 - time11/09/2015 6:29:09
013950009309742 - 13.834963,100.514205 - time11/09/2015 6:29:10
013950009320152 - 13.834983,100.514238 - time11/09/2015 6:29:27
013950009319790 - 13.834965,100.514143 - time11/09/2015 6:29:39
013950009320152 - 13.834988,100.514225 - time11/09/2015 6:29:57
013950009319790 - 13.834941,100.514171 - time11/09/2015 6:30:08
013950009320152 - 13.834960,100.514233 - time11/09/2015 6:30:27
013950009320152 - 13.834956,100.514238 - time11/09/2015 6:30:57
013950009320152 - 13.834975,100.514228 - time11/09/2015 6:31:26
013950009313595 - 0.000000,0.000000 - time01/01/2000 7:04:23
013950009320285 - 0.000000,0.000000 - time01/01/2000 7:06:31
013950009313595 - 13.835025,100.514236 - time11/09/2015 6:30:47
013950009320285 - 0.000000,0.000000 - time01/01/2000 7:06:47
013950009313595 - 13.835018,100.514231 - time11/09/2015 6:31:16
013950009320285 - 13.834920,100.514183 - time11/09/2015 6:31:23
013950009320285 - 0.000000,0.000000 - time01/01/2000 7:03:42
013950009320285 - 0.000000,0.000000 - time01/01/2000 7:03:57
013950009313595 - 13.835023,100.514243 - time11/09/2015 6:31:46
013950009320285 - 13.834918,100.514188 - time11/09/2015 6:31:53
013950009313595 - 13.835008,100.514241 - time11/09/2015 6:32:16
013950009320285 - 13.834910,100.514176 - time11/09/2015 6:32:23
013950009313595 - 13.835001,100.514240 - time11/09/2015 6:32:46
013950009320285 - 13.834925,100.514190 - time11/09/2015 6:32:53
013950009313595 - 13.834978,100.514218 - time11/09/2015 6:33:16
013950009320285 - 13.834925,100.514216 - time11/09/2015 6:33:23
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:13:56
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:14:13
013950009310849 - 13.835005,100.514210 - time11/09/2015 6:33:35
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:07:52
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:08:52
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:09:52
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:10:52
013950009313595 - 13.834978,100.514211 - time11/09/2015 6:33:46
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:04:42
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:05:42
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:06:52
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:11:09
013950009310849 - 0.000000,0.000000 - time01/01/2000 7:13:30
013950009320285 - 13.834935,100.514198 - time11/09/2015 6:33:53
013950009310849 - 13.834985,100.514210 - time11/09/2015 6:34:04
013950009313595 - 13.834991,100.514188 - time11/09/2015 6:34:16
013950009320285 - 13.834965,100.514190 - time11/09/2015 6:34:23
013950009310849 - 13.834991,100.514208 - time11/09/2015 6:34:34
013950009313595 - 13.834993,100.514188 - time11/09/2015 6:34:46
013950009320285 - 13.834973,100.514220 - time11/09/2015 6:34:53
013950009310849 - 13.834993,100.514203 - time11/09/2015 6:35:04
013950009313595 - 13.834990,100.514180 - time11/09/2015 6:35:16
013950009320285 - 13.834946,100.514183 - time11/09/2015 6:35:23
013950009310849 - 13.834981,100.514193 - time11/09/2015 6:35:34
013950009313595 - 13.834975,100.514188 - time11/09/2015 6:35:46
013950009318727 - 0.000000,0.000000 - time01/01/2000 7:07:00
013950009318727 - 13.834993,100.514235 - time11/09/2015 6:41:13
013950009318727 - 13.835003,100.514230 - time11/09/2015 6:41:43
013950009318727 - 0.000000,0.000000 - time01/01/2000 7:03:57
013950009318727 - 0.000000,0.000000 - time01/01/2000 7:04:52
013950009318727 - 13.835020,100.514198 - time11/09/2015 6:42:13
013950009318727 - 13.835040,100.514193 - time11/09/2015 6:42:43
013950009318727 - 13.834988,100.514205 - time11/09/2015 6:43:12
013950009318727 - 13.834985,100.514181 - time11/09/2015 6:43:41
013950009318727 - 13.834986,100.514181 - time11/09/2015 6:44:11
013950009318727 - 13.834995,100.514181 - time11/09/2015 6:44:41
013950009318727 - 13.835030,100.514163 - time11/09/2015 6:45:11
013950009318727 - 13.835005,100.514176 - time11/09/2015 6:45:41
013950009318727 - 13.835008,100.514181 - time11/09/2015 6:46:11
013950009318727 - 13.835006,100.514166 - time11/09/2015 6:46:41
013950009320285 - 13.834938,100.514196 - time11/09/2015 6:35:55
013950009320285 - 13.834938,100.514196 - time11/09/2015 6:36:10
013950009319451 - 13.834933,100.514206 - time11/09/2015 7:01:22
013950009319451 - 13.834933,100.514206 - time11/09/2015 7:01:37
013950009319451 - 13.834991,100.514236 - time11/09/2015 10:22:05
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:05:06
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:07:15
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:08:15
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:09:15
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:10:15
013950009320285 - 13.834935,100.514161 - time11/09/2015 10:22:19
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:11:15
013950009319147 - 13.834971,100.514205 - time11/09/2015 7:05:16
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:12:14
013950009319147 - 13.834985,100.514236 - time11/09/2015 10:21:45
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:13:14
013950009319147 - 13.834980,100.514223 - time11/09/2015 10:22:15
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:14:14
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:10:18
013950009329336 - 13.834973,100.514200 - time11/09/2015 7:03:34
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:15:14
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:12:12
013950009329336 - 13.835001,100.514213 - time11/09/2015 10:21:40
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:15:47
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:13:12
013950009329336 - 13.834993,100.514221 - time11/09/2015 10:22:10
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:16:14
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:14:12
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:09:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:15:12
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:17:14
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:10:37
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:18:14
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:16:12
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:11:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:17:11
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:19:14
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:12:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:18:11
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:20:14
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:13:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:19:11
013950009319451 - 13.834955,100.514235 - time11/09/2015 10:22:35
013950009320426 - 13.834953,100.514185 - time11/09/2015 7:12:58
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:14:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:20:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:04:28
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:21:13
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:15:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:20:44
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:05:28
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:22:13
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:16:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:21:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:06:28
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:17:37
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:23:13
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:22:11
013950009320426 - 0.000000,0.000000 - time01/01/2000 7:07:28
013950009309213 - 0.000000,0.000000 - time01/01/2000 13:01:37
013950009329336 - 0.000000,0.000000 - time01/01/2000 7:18:11
013950009319451 - 0.000000,0.000000 - time01/01/2000 7:24:13
013950009319147 - 0.000000,0.000000 - time01/01/2000 7:23:11
